X1	X2	sign
YEL009C	YOR221C	1
YEL009C	YOR222W	1
YEL009C	YPL135W	1
YEL009C	YPL137C	1
YEL009C	YPL250C	1
YEL009C	YPL252C	1
YEL009C	YPL264C	1
YEL009C	YPL273W	1
YEL009C	YPR036WA	1
YEL009C	YPR144C	1
YEL009C	YPR145W	1
YEL009C	YPR167C	1
YEL009C	YPR168W	1
YER040W	SNR61	0
YER040W	YCL030C	0
YER040W	YCL063W	0
YER040W	YCL064C	0
YER040W	YDL170W	0
YER040W	YDL171C	0
YER040W	YDL215C	0
YER040W	YDR030C	0
YER040W	YDR031W	0
YER040W	YGL006WA	0
YER040W	YGL006W	0
YER040W	YGL007CA	0
YER040W	YGL008C	0
YER040W	YGR233C	0
YER040W	YGR234W	0
YER040W	YHL015WA	0
YER040W	YHL015W	0
YER040W	YHL016C	0
YER040W	YHR029C	0
YER040W	YIL118W	0
YER040W	YIL119C	0
YER040W	YIR027C	0
YER040W	YIR028W	0
YER040W	YIR029W	0
YER040W	YIR030C	0
YER040W	YIR031C	0
YER040W	YJL172W	0
YER040W	YJL173C	0
YER040W	YJR148W	0
YER040W	YJR151C	0
YER040W	YJR151WA	0
YER040W	YJR152W	0
YER040W	YLL015W	0
YER040W	YLL018C	0
YER040W	YNL141W	0
YER040W	YNR018W	0
YER040W	YOL058W	0
YER040W	YOL109W	0
YER040W	YOL117W	0
YER040W	YOL119C	0
YER040W	YOR230W	0
YER040W	YPL265W	0
YER040W	YPR035W	0
YER040W	YPR144C	0
YER040W	YPR145W	0
YER111C	TA(AGC)P	0
YER111C	TK(UUU)D	0
YER111C	TK(UUU)P	0
YER111C	YBR070C	0
YER111C	YBR071W	0
YER111C	YBR112C	0
YER111C	YBR114W	0
YER111C	YBR161W	0
YER111C	YBR162C	0
YER111C	YBR162WA	0
YER111C	YBR163W	0
YER111C	YCR065W	0
YER111C	YDL055C	0
YER111C	YDL127W	0
YER111C	YDL227C	0
YER111C	YDR224C	0
YER111C	YDR225W	0
YER111C	YDR309C	0
YER111C	YDR451C	0
YER111C	YDR452W	0
YER111C	YDR507C	0
YER111C	YDR524CB	0
YER111C	YDR524C	0
YER111C	YDR524WA	0
YER111C	YDR525WA	0
YER111C	YDR527W	0
YER111C	YEL001C	0
YER111C	YEL040W	0
YER111C	YER001W	0
YER111C	YER010C	0
YER111C	YER011W	0
YER111C	YER070W	0
YER111C	YER112W	0
YER111C	YER145C	0
YER111C	YER146W	0
YER111C	YFR017C	0
YER111C	YGL038C	0
YER111C	YGL178W	0
YER111C	YGL179C	0
